Business Name,Status,Address,City/State/Zip,Taxpayer ID,Location #,Permit Begin,Permit End
WILDEWILDEWEB,INACTIVE,812 W COURT AVE,"FORT DAVIS, TX 79734",32019042277,00002,07/01/2006,10/31/2006
"""OLD STUFF""",INACTIVE,702 E CEMETERY RD,"FORT DAVIS, TX 79734",32005874576,00002,12/19/2003,12/31/2011
"""WOK N' ROLL""",INACTIVE,1300 N STATE ST,"FORT DAVIS, TX 79734",32044306424,00001,06/27/2013,07/01/2015
A & J SERVICES,INACTIVE,400 E CAVALRY RD,"FORT DAVIS, TX 79734",32003323477,00001,03/01/2001,03/31/2002
AA MARKETING,INACTIVE,72 JUNIPER DR,"FORT DAVIS, TX 79734",32029974105,00001,06/01/1999,06/01/2000
ACTS 2 DESIGN,INACTIVE,2001 N STATE ST UNIT C,"FORT DAVIS, TX 79734",32053218551,00001,11/22/2019,06/30/2024
ACUENERGETICS,INACTIVE,HIGH LONESOME RD,"FORT DAVIS, TX 79734",32026979438,00001,01/05/1990,12/31/1998
ADOBE HACIENDA GALLERY,INACTIVE,#1 ADOBE CEMETERY RD(1MILE E ON CEMETERY ROAD),"FORT DAVIS, TX 79734",32008419403,00003,09/01/2005,12/01/2008
AGRI-SCRAPES,INACTIVE,131 N LARGENT RANCH RD,"FORT DAVIS, TX 79734",32046277201,00002,01/01/2011,12/31/2011
AGRICULTURAL DEVELOPMENT ENGINEERS,INACTIVE,LYMPIA CANYON TRAIL-DMR,"FORT DAVIS, TX 79734",30004002926,00001,05/01/1981,12/31/1982
ALONG THE TRAIL ANTIQUES & GARDENS,ACTIVE,1504 N STATE STREET,"FORT DAVIS, TX 79734",32011314351,00002,07/15/2005,
"ALPINE AUTO PARTS, INC.",INACTIVE,206 N PAINTED TREES RD,"FORT DAVIS, TX 79734",17421885967,00024,05/19/2016,06/30/2021
ALVIN A JARRATT,INACTIVE,200 DOUGLAS,"FORT DAVIS, TX 79734",32029691337,00001,09/01/1961,02/01/1994
"ALVIN HUEY, THE PRUDE RANCH",INACTIVE,HIGHWAY 118,"FORT DAVIS, TX 79734",32019446965,00001,04/23/2006,03/31/2008
AMJ ENTERPRISE,INACTIVE,102 CROOKED OAK TRAIL,"FORT DAVIS, TX 79734",32010481631,00001,04/01/2001,12/25/2002
AMP AUTO PARTS & REPAIR,INACTIVE,109 CEMETARY RD,"FORT DAVIS, TX 79734",12006463553,00001,03/01/2004,03/31/2011
ANDY PRUDE WELL SERVICE,ACTIVE,NW FROM FT DAVIS ON HWY 118 5 MI TO RAN,"FORT DAVIS, TX 79734",32008567136,00001,07/02/1996,
ANITA'S HOUSE OF HEIRLOOMS,INACTIVE,8 BLKS WEST ON COURT AVE,"FORT DAVIS, TX 79734",32029920892,00001,03/01/1980,12/25/1985
ANOTHER ANGLE,INACTIVE,BLK 6 OLD FORT DAVIS ACRES,"FORT DAVIS, TX 79734",32027249054,00001,07/17/1993,12/31/1993
ANTIQUITES DES MONTAGNES MAGIQUES,INACTIVE,10 MI N OF FT DAVIS ON HWY 17 N,"FORT DAVIS, TX 79734",30003219380,00001,08/02/1977,12/31/1984
ANTOJITOS DEL COMAL SALVADORENO,ACTIVE,400 E COMMERCE ST,"FORT DAVIS, TX 79734",32087981513,00001,01/30/2023,
ANVIL AND APRON,ACTIVE,307 TOMAHAWK TRL,"FORT DAVIS, TX 79734",32099199559,00001,04/13/2025,
APACHE FEED & RANCH SUPPLY,INACTIVE,MAIN STREET-NEXT BLK FROM STONE VILLAGE,"FORT DAVIS, TX 79734",32005387413,00003,03/04/1983,11/19/1983
APCON,ACTIVE,201 OLDS CREEK DR,"FORT DAVIS, TX 79734",32054174753,00001,01/01/2013,
APPLEJACK'S,INACTIVE,7TH STATE STREET,"FORT DAVIS, TX 79734",32009584403,00004,10/01/1984,09/30/1986
ARGARD SERVICES,INACTIVE,HWY 118 SOUTH,"FORT DAVIS, TX 79734",32022123551,00001,10/15/1993,10/10/1999
